start,end,release,all_release_same_bytes,all_release_same_pct,aligned_rom_pointer_words,zero_bytes,ff_bytes,entropy_bits_per_byte
0x0000B000,0x0000BFFF,ITA,178,4.345703%,31,553,35,6.298381
0x0000B000,0x0000BFFF,ESP,178,4.345703%,31,553,32,6.292680
0x0000C000,0x0000CFFF,JPN,253,6.176758%,72,566,29,6.311942
0x0000C000,0x0000CFFF,ENG_USA_EUR,253,6.176758%,86,557,32,6.299425
0x0000C000,0x0000CFFF,FRA,253,6.176758%,86,556,32,6.281203
0x0000C000,0x0000CFFF,DEU,253,6.176758%,86,556,35,6.308064
0x0000C000,0x0000CFFF,ITA,253,6.176758%,86,556,32,6.294395
0x0000C000,0x0000CFFF,ESP,253,6.176758%,86,556,30,6.299979
0x0000D000,0x0000DFFF,JPN,149,3.637695%,20,452,38,6.358879
0x0000D000,0x0000DFFF,ENG_USA_EUR,149,3.637695%,13,466,20,6.266919
0x0000D000,0x0000DFFF,FRA,149,3.637695%,13,466,20,6.268058
0x0000D000,0x0000DFFF,DEU,149,3.637695%,13,466,21,6.269540
0x0000D000,0x0000DFFF,ITA,149,3.637695%,13,466,20,6.267193
0x0000D000,0x0000DFFF,ESP,149,3.637695%,13,466,22,6.272505
0x0000E000,0x0000EFFF,JPN,177,4.321289%,77,571,33,6.375403
0x0000E000,0x0000EFFF,ENG_USA_EUR,177,4.321289%,83,570,48,6.409047
0x0000E000,0x0000EFFF,FRA,177,4.321289%,83,570,49,6.414612
0x0000E000,0x0000EFFF,DEU,177,4.321289%,83,570,43,6.389969
0x0000E000,0x0000EFFF,ITA,177,4.321289%,83,570,49,6.416090
0x0000E000,0x0000EFFF,ESP,177,4.321289%,83,570,46,6.405317
0x0000F000,0x0000FFFF,JPN,160,3.906250%,25,551,38,6.282294
0x0000F000,0x0000FFFF,ENG_USA_EUR,160,3.906250%,11,565,36,6.325765
0x0000F000,0x0000FFFF,FRA,160,3.906250%,11,565,36,6.325816
0x0000F000,0x0000FFFF,DEU,160,3.906250%,11,565,36,6.314868
0x0000F000,0x0000FFFF,ITA,160,3.906250%,11,565,36,6.326307
0x0000F000,0x0000FFFF,ESP,160,3.906250%,11,565,32,6.321704
