version,symbol,bank_hex,cpu_address_hex,file_offset_hex,length_bytes,sha256,verified
KOREAN_GOLD,NamesPointers,0x00,0x35C3,0x0035C3,24,edb763e4e9dc0e59a3a6913b95e0189e628233dd444361041df97dbfa9de6a32,True
KOREAN_GOLD,GetName,0x00,0x35DB,0x0035DB,78,715734c23cf21952bca626c050fdbf0e9397fa4d720c9f4779a831bb8e33d849,True
KOREAN_GOLD,GetNthString,0x00,0x3629,0x003629,15,06a85ac548b66a6278f66f2da26ad59c360885d7a81c58c0a953c72bf7f7bc32,True
KOREAN_GOLD,GetMoveName,0x00,0x3726,0x003726,20,7a31353c103997db4c3926f6041c041830f711ac396a6af00399d31563a8e786,True
KOREAN_SILVER,NamesPointers,0x00,0x35C3,0x0035C3,24,edb763e4e9dc0e59a3a6913b95e0189e628233dd444361041df97dbfa9de6a32,True
KOREAN_SILVER,GetName,0x00,0x35DB,0x0035DB,78,715734c23cf21952bca626c050fdbf0e9397fa4d720c9f4779a831bb8e33d849,True
KOREAN_SILVER,GetNthString,0x00,0x3629,0x003629,15,06a85ac548b66a6278f66f2da26ad59c360885d7a81c58c0a953c72bf7f7bc32,True
KOREAN_SILVER,GetMoveName,0x00,0x3726,0x003726,20,7a31353c103997db4c3926f6041c041830f711ac396a6af00399d31563a8e786,True
