file,size,title,game_code,language,maker_code,software_version,header_checksum_stored,header_checksum_calculated,header_checksum_ok,md5,sha1,sha256,crc32
Pocket Monsters - Emerald (Japan).gba,16777216,POKEMON EMER,BPEJ,Japanese,01,0,6D,6D,True,92eecf93f1ab828bdf2a83daddacf3e5,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,4881f3f8
Pokemon - Edicion Esmeralda (Spain).gba,16777216,POKEMON EMER,BPES,Spanish,01,0,64,64,True,67b770405f7b87589e0342513b25fe9b,fe1558a3dcb0360ab558969e09b690888b846dd9,e32c82bd10f174cf4019123b36f3ef7729105fb6634d9aa6b61413ee5101a55e,8c4d3108
Pokemon - Emerald Version (U).gba,16777216,POKEMON EMER,BPEE,English,01,0,72,72,True,605b89b67018abcea91e693a4dd25be3,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,1f1c08fb
"Pokemon - Emerald Version (USA, Europe).gba",16777216,POKEMON EMER,BPEE,English,01,0,72,72,True,605b89b67018abcea91e693a4dd25be3,f3ae088181bf583e55daf962a92bb46f4f1d07b7,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,1f1c08fb
Pokemon - Smaragd-Edition (Germany).gba,16777216,POKEMON EMER,BPED,German,01,0,73,73,True,f793a854654b467211fc32c4062cb183,61c2eb2b380b1a75f0c94b767a2d4c26cd7ce4e3,7c599c56849efeebeb93bd71f714932ae4cdf980db51c9c1016b4431057f71d4,34c9df89
Pokemon - Version Emeraude (France).gba,16777216,POKEMON EMER,BPEF,French,01,0,71,71,True,2c00e335288a96650e34785b5e2a7588,ca666651374d89ca439007bed54d839eb7bd14d0,e79b40e6189550b4870b06918a5c59e04d3a2e1d7c92718aeda92181201f51e4,a3fdccb1
Pokemon - Versione Smeraldo (Italy).gba,16777216,POKEMON EMER,BPEI,Italian,01,0,6E,6E,True,c3e85be7372bbd5e43f6334a565968c1,1692db322400c3141c5de2db38469913ceb1f4d4,63cbff3500b657cb6966568beb0780de3655d3a0b2e5ac6e0ec33d5d01a916ad,a0aec80a
