file,bank,offset_start,offset_end,sha1,entropy,zero_bytes,ff_bytes,all_zero,all_ff,unique_byte_values
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,33,540672,557055,5936c9b04d3bf372af7421f90993bee0e795fc3c,4.966988,2715,1,False,False,87
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,34,557056,573439,bfd69463d3c7fbcbc4115829e9b5cc9d73c86af7,5.136988,2796,3,False,False,118
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,35,573440,589823,90e2fcc228fe88a6032d29bf9c426793cf7025a3,4.965694,2748,3,False,False,86
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,36,589824,606207,f8cb1bca47d2b380ed59c203c9dd93825fb737d1,4.928426,2952,1,False,False,87
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,37,606208,622591,e992207ee0fb9cf49f18fefff2a4a2ee9a3f74eb,4.912399,3302,4,False,False,97
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,38,622592,638975,92cd815779dd5665b4de6b0a86215caeec85317f,4.946927,2986,0,False,False,89
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,39,638976,655359,c08490f6c39037989fb65a0dea3650593d147599,4.843435,3869,2,False,False,86
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,40,655360,671743,fc27300abf2b5ebcff1dedd587c9b86b1712c1c6,4.851002,3624,3,False,False,92
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,41,671744,688127,9110b2bf2c2ed85950f2d12ce9a1aa7c7f6629b5,4.982639,3467,0,False,False,92
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,42,688128,704511,77927e1373573c7a3c42297041e3831ba8ee23c0,0.579582,15488,0,False,False,59
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,43,704512,720895,224192055130a93a91441238ae9743cb978e2072,4.707008,2640,0,False,False,71
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,44,720896,737279,40e9f75c9fd1ccd90ca7dee64983b4b05f6bdb0b,0.919953,14703,0,False,False,29
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,45,737280,753663,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,46,753664,770047,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,47,770048,786431,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,48,786432,802815,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,49,802816,819199,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,50,819200,835583,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,51,835584,851967,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,52,851968,868351,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,53,868352,884735,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,54,884736,901119,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,55,901120,917503,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,56,917504,933887,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,57,933888,950271,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,58,950272,966655,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,59,966656,983039,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,60,983040,999423,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,61,999424,1015807,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,62,1015808,1032191,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,63,1032192,1048575,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,16384,0,True,False,1
