file,size_bytes,banks_16KiB,title,manufacturer,cgb_flag,cgb_mode,new_licensee,sgb_flag,cart_type,rom_size_code,rom_size_declared,ram_size_code,ram_size_declared,destination,old_licensee,mask_rom_version,header_checksum_stored,header_checksum_calc,header_checksum_ok,global_checksum_stored,global_checksum_calc,global_checksum_ok,md5,sha1,sha256
Pocket Monsters Geum (Korea).gbc,2097152,128,POKEMON_GLD,AAUK,0xC0,CGB-only,01,0x00,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x08,0x08,True,0x778A,0x778A,True,82bd1d9171e60f147d9eeea13ef07a12,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6
Pocket Monsters Kin (Japan) (Rev A).gbc,1048576,64,POKEMON_GLD,AAUJ,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,0x33,1,0x47,0x47,True,0x8460,0x8460,True,79aece8a042e4fa57aba9455c4d21a97,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e
Pocket Monsters Kin (Japan).gbc,1048576,64,POKEMON_GLD,AAUJ,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,0x33,0,0x48,0x48,True,0x8A70,0x8A70,True,85be569fe89f58c40f60480313314c67,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7
Pokemon - Edicion Oro (Spain).gbc,2097152,128,POKEMON_GLD,AAUS,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x3D,0x3D,True,0x9353,0x9353,True,9462bc81907e38c59acccd739690e6f9,162ea54c6a3cff374642e6dd842f9bffac847e7b,7b78e33a348a0729e38ee0fd778cf49b3e07c35d2175ebc74d8f9be41f41455b
"Pokemon - Gold Version (USA, Europe).gbc",2097152,128,POKEMON_GLD,AAUE,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x4B,0x4B,True,0x682D,0x682D,True,a6924ce1f9ad2228e1c6580779b23878,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e
Pokemon - Goldene Edition (Germany).gbc,2097152,128,POKEMON_GLD,AAUD,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x4C,0x4C,True,0xDC97,0xDC97,True,7542ec9b695d4fe38adfdaaa57364d83,9254195d461ea942eaaa08cc4b83de3cf82aea0d,542f275f8632ef5265e5cde80a8ba1f0ec11ce714ef9d773088a92680bd17d73
Pokemon - Version Or (France).gbc,2097152,128,POKEMON_GLD,AAUF,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x4A,0x4A,True,0x6FC6,0x6FC6,True,9af19423c5fa3dbe4fdcc78d2bc7d1c0,c147c0d8c2b71b7628a7233436f5c052b5b17081,6103cadf2ae505f4b489a8a414c8db27a2307d797ddf8a3a848659b591dd4023
Pokemon - Versione Oro (Italy).gbc,2097152,128,POKEMON_GLD,AAUI,0x80,CGB-compatible,01,0x03,0x10 MBC3+TIMER+RAM+BATTERY,0x06,2097152,0x03,32768,Non-Japan,0x33,0,0x47,0x47,True,0xCE0C,0xCE0C,True,89bb59dc49b59b0cd30b7384d9860bb8,032608fe8947b627584a4a0eccc7bf9ad3588426,367e606f82b9e2e16d0cc8011c5ba2df1862da574e57ffd66e786a82af5b6e22
