language_region,revision,source_filename,size,title,game_code,maker_code,software_version,fixed_value,unit_code,device_type,complement_check,header_checksum_calculated,header_checksum_valid,nintendo_logo_sha256,md5,sha1,sha256
JA-JP,REV-0,Pocket Monsters - Leaf Green (Japan).gba,16777216,POKEMON LEAF,BPGJ,01,0,150,0,0,124,124,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,138a71a5be83f3f3d7af3d31916a5fc7,5946f1b59e8d71cc61249661464d864185c92a5f,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2
DE-DE,REV-0,Pokemon - Blattgruene Edition (Germany).gba,16777216,POKEMON LEAF,BPGD,01,0,150,0,0,130,130,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,4dd5e72f942a921d3fe53d21a39f4cba,0802d1fb185ee3ed48d9a22afb25e66424076dac,6ab7183caf8bf093f42351cf7c891722ecef85f2ded922f6d2491c6062fa3fc2
ES-ES,REV-0,Pokemon - Edicion Verde Hoja (Spain).gba,16777216,POKEMON LEAF,BPGS,01,0,150,0,0,115,115,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,765178ed4d402033ef7ed6b82d059f5a,f9ebee5d228cb695f18ef2ced41630a09fa9eb05,f8908e0bd32cf27077a26b557e1eea0ff06ce8059bee5dc7d799aab44a070d48
EN-EUROPE,REV-1,Pokemon - Leaf Green Version (Europe) (Rev 1).gba,16777216,POKEMON LEAF,BPGE,01,1,150,0,0,128,128,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,9d33a02159e018d09073e700e1fd10fd,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,2f978f635b9593f6ca26ec42481c53a6b39f6cddd894ad5c062c1419fac58825
EN-USA,REV-0,Pokemon - Leaf Green Version (USA).gba,16777216,POKEMON LEAF,BPGE,01,0,150,0,0,129,129,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,612ca9473451fa42b51d1711031ed5f6,574fa542ffebb14be69902d1d36f1ec0a4afd71e,78d310d557ceebc593bd393acc52d1b19a8f023fec40bc200e6063880d8531fc
FR-FR,REV-0,Pokemon - Version Vert Feuille (France).gba,16777216,POKEMON LEAF,BPGF,01,0,150,0,0,128,128,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,c5bc831107f459816508b45d9392afc9,4b5758c14d0a07b70ef3ef0bd7fa5e7ce6978672,cc0fa93f4631d0814afcd5a273edf28f2876e126e8ef0df4dd39dd6f36e53ed3
IT-IT,REV-0,Pokemon - Versione Verde Foglia (Italy).gba,16777216,POKEMON LEAF,BPGI,01,0,150,0,0,125,125,True,08a0153cfd6b0ea54b938f7d209933fa849da0d56f5a34c481060c9ff2fad818,1e52f38082b252e04173efb340a9286e,a1dfea1493d26d1f024be8ba1de3d193fcfc651e,c71599a482c43df2104ce6be903393333d3ebacbf392ea5fcd8792dada8a5076
