symbol,japan,usa,europe_rev1,germany,france,italy,spain
BlitBitmapRect4BitWithoutColorKey,0x08004A2C,0x08004A60,0x08004A74,0x080049E0,0x080049CC,0x080049E0,0x080049CC
BlitBitmapRect4Bit,0x08004A70,0x08004AA4,0x08004AB8,0x08004A24,0x08004A10,0x08004A24,0x08004A10
FillBitmapRect4Bit,0x08004C50,0x08004C84,0x08004C98,0x08004C04,0x08004BF0,0x08004C04,0x08004BF0
BlitBitmapRect4BitTo8Bit,0x08004D0C,0x08004D40,0x08004D54,0x08004CC0,0x08004CAC,0x08004CC0,0x08004CAC
FillBitmapRect8Bit,0x08004F5C,0x08004F90,0x08004FA4,0x08004F10,0x08004EFC,0x08004F10,0x08004EFC
